1
[8, 4, 5, 6, 3, 2, 1, 7, 0]
[7, 3, 2, 0, 1, 8, 6, 5, 4]
[1, 0, 6, 7, 4, 5, 3, 2, 8]
[6, 8, 3, 5, 7, 4, 0, 1, 2]
[4, 5, 7, 2, 0, 1, 8, 3, 6] = Salida
[2, 1, 0, 8, 6, 3, 5, 4, 7]
[3, 6, 1, 4, 2, 0, 7, 8, 5]
[5, 7, 4, 1, 8, 6, 2, 0, 3]
[0, 2, 8, 3, 5, 7, 4, 6, 1]

2
[8, 3, 2, 4, 5, 6, 7, 0, 1]
[0, 5, 7, 1, 8, 2, 4, 6, 3]
[4, 1, 6, 0, 7, 3, 2, 5, 8]
[6, 7, 0, 5, 4, 1, 8, 3, 2]
[5, 2, 3, 7, 6, 8, 1, 4, 0] = Salida
[1, 8, 4, 3, 2, 0, 5, 7, 6]
[7, 6, 1, 8, 3, 4, 0, 2, 5]
[2, 0, 5, 6, 1, 7, 3, 8, 4]
[3, 4, 8, 2, 0, 5, 6, 1, 7]

3
[4, 0, 5, 6, 1, 8, 2, 3, 7]
[7, 2, 6, 3, 4, 0, 5, 8, 1]
[3, 1, 8, 7, 2, 5, 4, 6, 0]
[5, 7, 2, 8, 0, 4, 3, 1, 6]
[6, 4, 3, 5, 7, 1, 8, 0, 2] = Salida
[1, 8, 0, 2, 6, 3, 7, 4, 5]
[8, 3, 7, 0, 5, 6, 1, 2, 4]
[2, 6, 4, 1, 8, 7, 0, 5, 3]
[0, 5, 1, 4, 3, 2, 6, 7, 8]

4
[2, 5, 6, 8, 3, 1, 7, 4, 0]
[8, 3, 7, 6, 4, 0, 5, 1, 2]
[1, 0, 4, 7, 2, 5, 3, 8, 6]
[6, 4, 1, 5, 8, 7, 0, 2, 3]
[7, 2, 5, 1, 0, 3, 8, 6, 4] = Salida
[3, 8, 0, 4, 6, 2, 1, 7, 5]
[0, 7, 8, 2, 5, 4, 6, 3, 1]
[5, 6, 2, 3, 1, 8, 4, 0, 7]
[4, 1, 3, 0, 7, 6, 2, 5, 8]

5
[3, 2, 5, 8, 6, 7, 1, 0, 4]
[6, 8, 1, 4, 0, 5, 3, 2, 7]
[7, 0, 4, 3, 2, 1, 5, 6, 8]
[5, 3, 0, 6, 1, 4, 8, 7, 2]
[2, 6, 8, 7, 3, 0, 4, 5, 1] = Salida
